Date,AAL,BAC,DAL,S&P500,WFC,JNJ,KO,MCD,PFE,SBUX,T,WMT,TMUS,COST,NFLX,DIS,CVX,XOM,CL,PG,PEP
2017-11-01,49.103378,26.575275,49.609024,2584.840088,50.798031,129.400757,41.783085,160.715454,32.785339,54.611546,31.336899,91.312157,61.07,179.416,195.509995,101.124474,106.255554,73.13217900000002,68.144936,83.492111,107.209541
2017-12-01,50.711876000000004,27.967525,52.822926,2673.610107,54.95748100000001,130.557571,42.226883,161.81454499999995,33.048428,54.530548,33.490341,92.739639,63.509998,181.597305,191.960007,103.719643,112.838524,74.119148,70.96666,85.245621,111.103325
2018-01-01,52.943863,30.317099,53.549236,2823.810059,59.586338,129.12793,43.800732,160.89325,33.796623,53.941849,32.258571999999994,101.166855,65.099998,190.134689,270.299988,105.68211399999998,112.98275,77.36254100000002,69.828568,80.105644,111.455406
2018-02-01,52.875637,30.41184,50.84206,2713.830078,52.910270999999995,121.362869,39.778679,148.295547,33.130547,54.217209,31.682135,85.422409,60.610001,186.261124,291.380005,100.323616,100.877747,67.11842299999999,65.208275,73.405357,101.662521
2018-03-01,50.741039,28.412806,51.998771999999995,2640.8701170000004,47.758369,120.513107,39.971962,147.94703700000005,32.682343,55.265461,31.114826,84.435425,61.040001,184.34314,295.350006,97.678398,103.811829,66.793144,67.770462,74.11586,101.12516
2018-04-01,41.922886,28.452854,49.541615,2648.050049,47.348309,118.952019,40.120548,158.410645,33.713745,54.959972,28.540102,84.451927,60.509998,192.88382,312.459991,97.571426,113.888969,69.60417199999999,61.672256,67.627922,94.209908
2018-05-01,42.518570000000004,27.616007,51.277752,2705.27002,49.198143,112.491432,39.92556,151.381317,33.087540000000004,54.100773,28.609934000000006,78.800156,55.700001,193.940369,351.600006,96.735069,113.151627,72.728516,59.998577,69.03701,93.56591
2018-06-01,37.156174,26.917216999999997,47.278423,2718.3701170000004,50.89980300000001,114.955231,40.724072,148.24035600000005,33.735985,46.879169,28.42404,82.28439300000002,59.75,205.04361,391.429993,101.928246,116.094177,74.813118,61.634296,73.65080999999998,102.545708
2018-07-01,38.702713,29.485762,51.935638,2816.290039,52.598301,125.546967,43.681622,149.991241,37.130035,50.276352,28.300108,85.723724,60.0,214.590332,337.450012,110.43766,115.94725,73.709869,63.726498,76.31150799999998,108.319618
2018-08-01,39.62280300000001,29.533506,56.190849,2901.52002,53.690849,127.602768,41.751865,154.456528,38.608551,51.293583,28.712856,92.093185,66.040001,228.738708,367.679993,109.815689,108.775726,72.498085,63.562733,78.975082,105.503311
2018-09-01,40.560383,28.129875,55.566295999999994,2913.97998,48.608791,131.772003,43.26944,160.268356,41.328674,54.92656700000001,30.187157,90.743828,70.18,231.027847,374.130005,114.63888500000002,113.359947,77.676987,64.07958199999999,79.24168399999998,105.305504
